id_contrato,parcela,fundo,data_referencia,valor_presente_fundo,parcela_z,key,fundo_code
CTR000073,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,46.86,001,CTR000073|001|FIDC4,FIDC4
CTR000087,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,112.9,001,CTR000087|001|FIDC4,FIDC4
CTR000089,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,120.75,001,CTR000089|001|FIDC4,FIDC4
CTR000095,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,46.9,001,CTR000095|001|FIDC3,FIDC3
CTR000106,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,145.9,001,CTR000106|001|FIDC4,FIDC4
CTR000114,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,112.81,001,CTR000114|001|FIDC4,FIDC4
CTR000123,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,56.72,001,CTR000123|001|FIDC4,FIDC4
CTR000125,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000125|001|FIDC3,FIDC3
CTR000133,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,266.9,001,CTR000133|001|FIDC4,FIDC4
CTR000141,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,625.9,001,CTR000141|001|FIDC4,FIDC4
CTR000142,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,152.9,001,CTR000142|001|FIDC4,FIDC4
CTR000144,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000144|001|FIDC3,FIDC3
CTR000154,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,333.9,001,CTR000154|001|FIDC4,FIDC4
CTR000156,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000156|001|FIDC3,FIDC3
CTR000157,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,81.9,001,CTR000157|001|FIDC3,FIDC3
CTR000165,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000165|001|FIDC3,FIDC3
CTR000169,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,53.56,001,CTR000169|001|FIDC3,FIDC3
CTR000189,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,214.89,001,CTR000189|001|FIDC4,FIDC4
CTR000190,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,49.34,001,CTR000190|001|FIDC3,FIDC3
CTR000192,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,186.9,001,CTR000192|001|FIDC3,FIDC3
CTR000198,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,266.9,001,CTR000198|001|FIDC4,FIDC4
CTR000202,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,136.9,001,CTR000202|001|FIDC3,FIDC3
CTR000205,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000205|001|FIDC3,FIDC3
CTR000210,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,224.22,001,CTR000210|001|FIDC4,FIDC4
CTR000218,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,335.9,001,CTR000218|001|FIDC4,FIDC4
CTR000229,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,340.9,001,CTR000229|001|FIDC4,FIDC4
CTR000238,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,266.9,001,CTR000238|001|FIDC4,FIDC4
CTR000243,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,112.82,001,CTR000243|001|FIDC4,FIDC4
CTR000252,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000252|001|FIDC3,FIDC3
